timestamp,cpu_percent,memory_percent,memory_used,disk_io,network_io
1758901354.204285,100.0,90.1,13041262592,1335495139840,41282469951
1758901354.893102,100.0,90.1,13038157824,1335769186816,41286507675
1758901355.5531058,100.0,90.0,13030465536,1335970042368,41287441500
1758901356.2520945,99.4,91.3,13219213312,1336268009984,41287591404
1758901356.8881252,100.0,92.2,13350203392,1336678035968,41291703270
1758901357.695578,100.0,91.9,13305896960,1337124016640,41296212582
1758901358.3341823,99.4,91.8,13293060096,1337203458560,41301571239
1758901358.9651082,100.0,91.8,13291618304,1337234358784,41303513133
1758901359.608981,99.4,91.8,13281284096,1337341071872,41303720655
1758901360.2481065,99.4,91.8,13290024960,1337403736576,41310431355
1758901360.892339,96.9,92.1,13333823488,1337509282304,41312900094
1758901361.5182374,67.7,93.0,13466333184,1337553703424,41319115434
1758901362.1429954,75.2,93.2,13496328192,1337621156352,41323123155
1758901362.7646906,25.2,93.6,13555052544,1337688453632,41324496273
1758901363.3802135,50.6,94.2,13638291456,1337864487424,41325439164
1758901364.000108,69.7,94.5,13675491328,1338050810368,41330738598
